JobID,JobRole,ExperienceYears,RequiredSkills,PreferredSkills,Education
JD001,Java Developer,1,"Java, Spring Boot, Hibernate, MySQL, Git","Java, Spring Boot, Hibernate, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD002,Python Developer,2,"Python, Django, Flask, SQL, Git","Python, Django, Flask, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD003,MERN Stack Developer,3,"MongoDB, Express.js, React, Node.js, JavaScript","MongoDB, Express.js, React, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD004,Frontend Developer,4,"HTML, CSS, JavaScript, React, TypeScript","HTML, CSS, JavaScript, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD005,Backend Developer,5,"Java, Spring Boot, REST API, MySQL, Docker","Java, Spring Boot, REST API, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD006,Android Developer,0,"Java, Kotlin, Android, Firebase, Git","Java, Kotlin, Android, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD007,Flutter Developer,1,"Flutter, Dart, Firebase, REST API, Git","Flutter, Dart, Firebase, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD008,Data Scientist,2,"Python, Pandas, NumPy, Machine Learning, SQL","Python, Pandas, NumPy, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD009,AI Engineer,3,"Python, TensorFlow, PyTorch, Machine Learning, OpenCV","Python, TensorFlow, PyTorch, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD010,DevOps Engineer,4,"Docker, Kubernetes, Jenkins, AWS, Linux","Docker, Kubernetes, Jenkins, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD011,Cloud Engineer,5,"AWS, Azure, Docker, Linux, Terraform","AWS, Azure, Docker, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD012,QA Engineer,0,"Selenium, JUnit, Postman, Cypress, Git","Selenium, JUnit, Postman, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD013,Security Engineer,1,"Linux, Python, Networking, Security, AWS","Linux, Python, Networking, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD014,Data Engineer,2,"Python, SQL, Kafka, Spark, AWS","Python, SQL, Kafka, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD015,Full Stack Developer,3,"Java, Spring Boot, React, MySQL, Git","Java, Spring Boot, React, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD016,Java Developer,4,"Java, Spring Boot, Hibernate, MySQL, Git","Java, Spring Boot, Hibernate, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD017,Python Developer,5,"Python, Django, Flask, SQL, Git","Python, Django, Flask, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD018,MERN Stack Developer,0,"MongoDB, Express.js, React, Node.js, JavaScript","MongoDB, Express.js, React, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD019,Frontend Developer,1,"HTML, CSS, JavaScript, React, TypeScript","HTML, CSS, JavaScript, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD020,Backend Developer,2,"Java, Spring Boot, REST API, MySQL, Docker","Java, Spring Boot, REST API, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD021,Android Developer,3,"Java, Kotlin, Android, Firebase, Git","Java, Kotlin, Android, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD022,Flutter Developer,4,"Flutter, Dart, Firebase, REST API, Git","Flutter, Dart, Firebase, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD023,Data Scientist,5,"Python, Pandas, NumPy, Machine Learning, SQL","Python, Pandas, NumPy, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD024,AI Engineer,0,"Python, TensorFlow, PyTorch, Machine Learning, OpenCV","Python, TensorFlow, PyTorch, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD025,DevOps Engineer,1,"Docker, Kubernetes, Jenkins, AWS, Linux","Docker, Kubernetes, Jenkins, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD026,Cloud Engineer,2,"AWS, Azure, Docker, Linux, Terraform","AWS, Azure, Docker, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD027,QA Engineer,3,"Selenium, JUnit, Postman, Cypress, Git","Selenium, JUnit, Postman, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD028,Security Engineer,4,"Linux, Python, Networking, Security, AWS","Linux, Python, Networking, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD029,Data Engineer,5,"Python, SQL, Kafka, Spark, AWS","Python, SQL, Kafka, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD030,Full Stack Developer,0,"Java, Spring Boot, React, MySQL, Git","Java, Spring Boot, React, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
JD031,Java Developer,1,"Java, Spring Boot, Hibernate, MySQL, Git","Java, Spring Boot, Hibernate, Communication, Problem Solving",B.Tech/B.E/MCA/BCA
